Ranking,Title,Year,Genre,Score,Actor,Link
#1,Frieren: Beyond Journey's End,2023,"Fantasy, Anime",100%,"AtsumiTanezaki,NobuhikoOkamoto,HirokiTouchi,Y≈çjiUeda",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/frieren_beyond_journeys_end
#2,Dark Winds,2022,"Crime, Drama, Thriller",94%,"ZahnMcClarnon,KiowaGordon,JessicaMatten,DeannaAllison",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/dark_winds
#3,Blood of Zeus,2020,"Animation, Action, Fantasy",100%,"DerekPhillips,JasonO'Mara,MamieGummer,ChrisDiamantopoulos",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/blood_of_zeus
#4,Love on the Spectrum,2019,"Documentary, Romance",73%,"BrookeSatchwell,JodiRodgers,MichaelTheo,KelvinWong",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/love_on_the_spectrum
#5,The Dragon Prince,2018,"Animation, Action, Adventure",100%,"JackDeSena,PaulaBurrows,SashaZoeyRojen",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_dragon_prince
#6,NA,NA,NA,92%,NA,https://www.rottentomatoes.com
#7,The Snow Girl,2023,"Crime, Drama, Mystery",100%,"Milena Smit , José Coronado , Tristán Ulloa , Loreto MauleónGu_rún _r Eyfjör_ , Aliette Opheim , Björn Thors , Gu_rún Gísladóttir",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_snow_girl
#8,Supacell,2024,"Sci-Fi, Drama",91%,"TosinCole,AdelayoAdedayo,NadineMills,EricKofi-Abrefa",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/supacell
#9,Carol & the End of the World,2023,"Animation, Comedy, Drama",100%,"MarthaKelly,BethGrant,LawrencePressman,KimberlyHebertGregory",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/carol_and_the_end_of_the_world
#10,Pok√©mon Concierge,2023,"Animation, Family, Fantasy",88%,"Non,AiFairouz,EitaOkuno,YoshikoTakemura",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/pokemon_concierge
#11,Red Rose,2022,"Drama, Horror, Thriller",100%,"AmeliaClarkson,IsisHainsworth,NatalieBlair,EllisHoward",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/red_rose
#12,Cyberpunk: Edgerunners,2022,"Animation, Action, Sci-Fi",100%,"AoiYuki,Kenn,KazuhikoInoue,KenjiroTsuda",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/cyberpunk_edgerunners
#13,Katla,2021,"Drama, Mystery, Sci-Fi",100%,"Gu_rún _r Eyfjör_ , Aliette Opheim , Björn Thors , Gu_rún Gísladóttir",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/katla
#14,Derry Girls,2018,Comedy,- -,"Saoirse-MonicaJackson,LouisaHarland,IanMcElhinney,KathyKieraClarke",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/derry_girls
#15,Baby Reindeer,2024,"Drama, Thriller",100%,"RichardGadd,JessicaGunning,NavaMau,TomGoodman-Hill",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/baby_reindeer
#16,Better Call Saul,2015,"Crime, Drama",70%,"BobOdenkirk,JonathanBanks,MichaelMando,PatrickFabian",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/better_call_saul
#17,Heartstopper,2022,"Drama, Romance",100%,"KitConnor,JoeLocke,WilliamGao,YasminFinney",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/heartstopper
